"","X","Dataset","Fold","Repeat","Method","MethodType","AUC","Popt","ACC"
"142",142,"bugzilla","Fold-31","Rep-1","Logistic","R-dd",0.652889294403893,0.601072727877729,0.358333333333333
"143",143,"bugzilla","Fold-31","Rep-1","RandomForest","R-non-EA",0.680261557177616,0.536736518067301,0.216666666666667
"144",144,"bugzilla","Fold-31","Rep-1","RandomForest","R-ad",0.680261557177616,0.74248515169664,0.425
"145",145,"bugzilla","Fold-31","Rep-1","RandomForest","R-ee",0.680261557177616,0.778176911723536,0.508333333333333
"146",146,"bugzilla","Fold-31","Rep-1","RandomForest","R-dd",0.680261557177616,0.638662053078708,0.408333333333333
"147",147,"bugzilla","Fold-31","Rep-1","SMO","R-non-EA",0.593004866180049,0.516424536222672,0.216666666666667
"148",148,"bugzilla","Fold-31","Rep-1","SMO","R-ad",0.593004866180049,0.604758170966201,0.366666666666667
"149",149,"bugzilla","Fold-31","Rep-1","SMO","R-ee",0.593004866180049,0.604758170966201,0.366666666666667
"150",150,"bugzilla","Fold-31","Rep-1","SMO","R-dd",0.593004866180049,0.604758170966201,0.366666666666667
"151",151,"bugzilla","Fold-31","Rep-1","J48","R-non-EA",0.686359489051095,0.499328174681269,0.133333333333333
"152",152,"bugzilla","Fold-31","Rep-1","J48","R-ad",0.686359489051095,0.757614480556222,0.458333333333333
"153",153,"bugzilla","Fold-31","Rep-1","J48","R-ee",0.686359489051095,0.785216912335432,0.508333333333333
"154",154,"bugzilla","Fold-31","Rep-1","J48","R-dd",0.686359489051095,0.677457921894015,0.45
"155",155,"bugzilla","Fold-31","Rep-1","Ridor","R-non-EA",0.584580291970803,0.502518204514887,0.2
"156",156,"bugzilla","Fold-31","Rep-1","Ridor","R-ad",0.584580291970803,0.514654938825173,0.233333333333333
"157",157,"bugzilla","Fold-31","Rep-1","Ridor","R-ee",0.584580291970803,0.514654938825173,0.233333333333333
"158",158,"bugzilla","Fold-31","Rep-1","Ridor","R-dd",0.584580291970803,0.514654938825173,0.233333333333333
"159",159,"bugzilla","Fold-31","Rep-1","IBk","R-non-EA",0.64426703163017,0.505104959755154,0.158333333333333
"160",160,"bugzilla","Fold-31","Rep-1","IBk","R-ad",0.64426703163017,0.72402137408349,0.391666666666667
"161",161,"bugzilla","Fold-31","Rep-1","IBk","R-ee",0.64426703163017,0.770806025510795,0.475
"162",162,"bugzilla","Fold-31","Rep-1","IBk","R-dd",0.64426703163017,0.586943367314824,0.341666666666667
"163",163,"bugzilla","Fold-31","Rep-1","NS.UP","R-unsup",0.468521897810219,0.147095976152281,0
"164",164,"bugzilla","Fold-31","Rep-1","ND.UP","R-unsup",0.46742700729927,0.178127917947576,0
"165",165,"bugzilla","Fold-31","Rep-1","NF.UP","R-unsup",0.426870437956204,0.333823261696413,0
"166",166,"bugzilla","Fold-31","Rep-1","Entropy.UP","R-unsup",0.436633211678832,0.351897654257062,0
"167",167,"bugzilla","Fold-31","Rep-1","LT.UP","R-unsup",0.540480535279805,0.564395620874025,0.241666666666667
"168",168,"bugzilla","Fold-31","Rep-1","FIX.UP","R-unsup",0.464750608272506,0.103155843367236,0.108333333333333
"169",169,"bugzilla","Fold-31","Rep-1","NDEV.UP","R-unsup",0.549315693430657,0.482133095452248,0.208333333333333
"170",170,"bugzilla","Fold-31","Rep-1","AGE.UP","R-unsup",0.590495742092457,0.573181454406408,0.2
"171",171,"bugzilla","Fold-31","Rep-1","NUC.UP","R-unsup",0.418324209245742,0.269560177071304,0
"172",172,"bugzilla","Fold-31","Rep-1","EXP.UP","R-unsup",0.506736618004866,0.500130708916762,0.208333333333333
"173",173,"bugzilla","Fold-31","Rep-1","REXP.UP","R-unsup",0.501566301703163,0.513229022242977,0.191666666666667
"174",174,"bugzilla","Fold-31","Rep-1","SEXP.UP","R-unsup",0.520924574209246,0.494565982423097,0.233333333333333
"175",175,"bugzilla","Fold-41","Rep-1","EALR","EALR",0.555930055022614,0.611609456413175,0.263157894736842
"177",177,"bugzilla","Fold-41","Rep-1","NaiveBayes","R-non-EA",0.70014115749143,0.501499247666619,0.180451127819549
"178",178,"bugzilla","Fold-41","Rep-1","NaiveBayes","R-ad",0.70014115749143,0.650867952881919,0.24812030075188
"179",179,"bugzilla","Fold-41","Rep-1","NaiveBayes","R-ee",0.70014115749143,0.759074479978389,0.518796992481203
"180",180,"bugzilla","Fold-41","Rep-1","NaiveBayes","R-dd",0.70014115749143,0.505837429959439,0.270676691729323
"181",181,"bugzilla","Fold-41","Rep-1","SimpleLogistic","R-non-EA",0.685636505055743,0.523580374340272,0.165413533834586
"182",182,"bugzilla","Fold-41","Rep-1","SimpleLogistic","R-ad",0.685636505055743,0.776940650332377,0.488721804511278
"183",183,"bugzilla","Fold-41","Rep-1","SimpleLogistic","R-ee",0.685636505055743,0.804420017890093,0.518796992481203
"184",184,"bugzilla","Fold-41","Rep-1","SimpleLogistic","R-dd",0.685636505055743,0.67034553859909,0.466165413533835
"185",185,"bugzilla","Fold-41","Rep-1","LMT","R-non-EA",0.685636505055743,0.523580374340272,0.165413533834586
"186",186,"bugzilla","Fold-41","Rep-1","LMT","R-ad",0.685636505055743,0.776940650332377,0.488721804511278
"187",187,"bugzilla","Fold-41","Rep-1","LMT","R-ee",0.685636505055743,0.804420017890093,0.518796992481203
"188",188,"bugzilla","Fold-41","Rep-1","LMT","R-dd",0.685636505055743,0.67034553859909,0.466165413533835
"189",189,"bugzilla","Fold-41","Rep-1","RBFNetwork","R-non-EA",0.561273874341025,0.436985768219081,0.172932330827068
"190",190,"bugzilla","Fold-41","Rep-1","RBFNetwork","R-ad",0.561273874341025,0.757395132986354,0.458646616541353
"191",191,"bugzilla","Fold-41","Rep-1","RBFNetwork","R-ee",0.561273874341025,0.793451336643118,0.518796992481203
"192",192,"bugzilla","Fold-41","Rep-1","RBFNetwork","R-dd",0.561273874341025,0.494431138598002,0.263157894736842
"193",193,"bugzilla","Fold-41","Rep-1","JRip","R-non-EA",0.677714400944891,0.549026515191172,0.218045112781955
"194",194,"bugzilla","Fold-41","Rep-1","JRip","R-ad",0.677714400944891,0.788188959761739,0.503759398496241
"195",195,"bugzilla","Fold-41","Rep-1","JRip","R-ee",0.677714400944891,0.810827763024956,0.548872180451128
"196",196,"bugzilla","Fold-41","Rep-1","JRip","R-dd",0.677714400944891,0.699591143287967,0.496240601503759
"197",197,"bugzilla","Fold-41","Rep-1","Logistic","R-non-EA",0.701869616570161,0.520340166365194,0.180451127819549
"198",198,"bugzilla","Fold-41","Rep-1","Logistic","R-ad",0.701869616570161,0.767033606911739,0.466165413533835
"199",199,"bugzilla","Fold-41","Rep-1","Logistic","R-ee",0.701869616570161,0.809587605110894,0.526315789473684
"200",200,"bugzilla","Fold-41","Rep-1","Logistic","R-dd",0.701869616570161,0.646196429295416,0.458646616541353
"201",201,"bugzilla","Fold-41","Rep-1","RandomForest","R-non-EA",0.733097110592573,0.538091010180393,0.210526315789474
"202",202,"bugzilla","Fold-41","Rep-1","RandomForest","R-ad",0.733097110592573,0.771393906433966,0.503759398496241
"203",203,"bugzilla","Fold-41","Rep-1","RandomForest","R-ee",0.733097110592573,0.826482187165117,0.548872180451128
"204",204,"bugzilla","Fold-41","Rep-1","RandomForest","R-dd",0.733097110592573,0.692331875721059,0.496240601503759
"205",205,"bugzilla","Fold-41","Rep-1","SMO","R-non-EA",0.65584939359894,0.548500435405543,0.218045112781955
"206",206,"bugzilla","Fold-41","Rep-1","SMO","R-ad",0.65584939359894,0.694132869451998,0.496240601503759
"207",207,"bugzilla","Fold-41","Rep-1","SMO","R-ee",0.65584939359894,0.694132869451998,0.496240601503759
"208",208,"bugzilla","Fold-41","Rep-1","SMO","R-dd",0.65584939359894,0.694132869451998,0.496240601503759
"209",209,"bugzilla","Fold-41","Rep-1","J48","R-non-EA",0.71028145075332,0.547925382050978,0.195488721804511
"210",210,"bugzilla","Fold-41","Rep-1","J48","R-ad",0.71028145075332,0.767693971770335,0.481203007518797
"211",211,"bugzilla","Fold-41","Rep-1","J48","R-ee",0.71028145075332,0.825118803950364,0.556390977443609
"212",212,"bugzilla","Fold-41","Rep-1","J48","R-dd",0.71028145075332,0.784623309440118,0.533834586466165
"213",213,"bugzilla","Fold-41","Rep-1","Ridor","R-non-EA",0.617650447958978,0.530700617973746,0.195488721804511
"214",214,"bugzilla","Fold-41","Rep-1","Ridor","R-ad",0.617650447958978,0.782544267800232,0.526315789473684
"215",215,"bugzilla","Fold-41","Rep-1","Ridor","R-ee",0.617650447958978,0.782544267800232,0.526315789473684
"216",216,"bugzilla","Fold-41","Rep-1","Ridor","R-dd",0.617650447958978,0.782544267800232,0.526315789473684
"217",217,"bugzilla","Fold-41","Rep-1","IBk","R-non-EA",0.722971221156339,0.51424838488116,0.172932330827068
"218",218,"bugzilla","Fold-41","Rep-1","IBk","R-ad",0.722971221156339,0.759297233724746,0.451127819548872
"219",219,"bugzilla","Fold-41","Rep-1","IBk","R-ee",0.722971221156339,0.818402993940346,0.541353383458647
"220",220,"bugzilla","Fold-41","Rep-1","IBk","R-dd",0.722971221156339,0.64714589905147,0.443609022556391
"221",221,"bugzilla","Fold-41","Rep-1","NS.UP","R-unsup",0.433195056607035,0.215270844157517,0
"222",222,"bugzilla","Fold-41","Rep-1","ND.UP","R-unsup",0.424063031141071,0.22714002241699,0
"223",223,"bugzilla","Fold-41","Rep-1","NF.UP","R-unsup",0.380433843228762,0.325817082802177,0
"224",224,"bugzilla","Fold-41","Rep-1","Entropy.UP","R-unsup",0.406965690087287,0.34879554680227,0
"225",225,"bugzilla","Fold-41","Rep-1","LT.UP","R-unsup",0.550845504566013,0.611750060074242,0.323308270676692
