"","X","Dataset","Fold","Repeat","Method","MethodType","AUC","Popt","ACC"
"225",225,"bugzilla","Fold-41","Rep-1","LT.UP","R-unsup",0.560495626822157,0.788635172108284,0.494047619047619
"226",226,"bugzilla","Fold-41","Rep-1","FIX.UP","R-unsup",0.439625850340136,0.0367237019303874,0
"227",227,"bugzilla","Fold-41","Rep-1","NDEV.UP","R-unsup",0.566782069970845,0.575766331784616,0.345238095238095
"228",228,"bugzilla","Fold-41","Rep-1","AGE.UP","R-unsup",0.610372125040492,0.822583736180516,0.511904761904762
"229",229,"bugzilla","Fold-41","Rep-1","NUC.UP","R-unsup",0.398941124068675,0.716782722534315,0.0952380952380952
"230",230,"bugzilla","Fold-41","Rep-1","EXP.UP","R-unsup",0.527575315840622,0.644935335583321,0.291666666666667
"231",231,"bugzilla","Fold-41","Rep-1","REXP.UP","R-unsup",0.516925817946226,0.653225123025238,0.297619047619048
"232",232,"bugzilla","Fold-41","Rep-1","SEXP.UP","R-unsup",0.530217444120505,0.678101423139929,0.297619047619048
"233",233,"bugzilla","Fold-51","Rep-1","EALR","EALR",0.539082973937806,0.701750429812046,0.347826086956522
"235",235,"bugzilla","Fold-51","Rep-1","NaiveBayes","R-non-EA",0.66655661253379,0.318715667972254,0.0869565217391304
"236",236,"bugzilla","Fold-51","Rep-1","NaiveBayes","R-ad",0.66655661253379,0.389878962358685,0.217391304347826
"237",237,"bugzilla","Fold-51","Rep-1","NaiveBayes","R-ee",0.66655661253379,0.886711138422536,0.670807453416149
"238",238,"bugzilla","Fold-51","Rep-1","NaiveBayes","R-dd",0.66655661253379,0.449769101216628,0.360248447204969
"239",239,"bugzilla","Fold-51","Rep-1","SimpleLogistic","R-non-EA",0.707661831163203,0.489400413716571,0.111801242236025
